rate	block	order	mode	variant	instrumented	valid	accepted_pps	loss	conservation	cycles_per_pkt	l2_fills_per_pkt	ccx_fills_per_pkt	dram_fills_per_pkt	invalid_reasons	file
14500000	2	3	skb	no-touch	1	True	1248066.0	0.91393	1.0	2559.05	6.2692	0.285	0.0639	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T163651Z_xdp_drop_14500000.json
14500000	2	4	skb	read-data	1	True	1247271.6	0.913966	1.0	2560.62	6.165	0.2926	0.064	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T163739Z_xdp_drop_14500000.json
9000000	2	1	native	no-touch	1	True	8999905.6	0.0	1.0	273.51	0.4024	0.081	0.0063	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T163826Z_xdp_drop_9000000.json
9000000	2	2	native	read-data	1	True	8539249.3	0.051197	1.0	373.82	0.869	0.0691	0.8647	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T163914Z_xdp_drop_9000000.json
9000000	2	3	skb	no-touch	1	True	1249215.7	0.861201	1.0	2556.68	6.5089	0.3051	0.0643	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T164002Z_xdp_drop_9000000.json
9000000	2	4	skb	read-data	1	True	1246336.3	0.861521	1.0	2562.56	6.1083	0.277	0.0643	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T164050Z_xdp_drop_9000000.json
750000	2	1	native	no-touch	1	True	750001.1	0.0	1.0	412.01	0.4309	0.0709	0.0188	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T164137Z_xdp_drop_750000.json
750000	2	2	skb	no-touch	1	True	750001.9	0.0	1.0	2843.55	7.8866	0.3245	0.0287	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T164225Z_xdp_drop_750000.json
750000	2	3	skb	read-data	1	True	750003.5	0.0	1.0	2853.39	7.8666	0.3256	0.0287	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T164313Z_xdp_drop_750000.json
750000	2	4	native	read-data	1	True	749999.5	0.0	1.0	455.75	0.4658	0.08	0.2372	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T164400Z_xdp_drop_750000.json
5500000	2	1	native	no-touch	1	True	5499973.8	0.0	1.0	366.26	0.7046	0.0802	0.0136	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T164448Z_xdp_drop_5500000.json
5500000	2	2	skb	read-data	1	True	1247445.7	0.773185	1.0	2560.3	5.4196	0.3158	0.0639	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T164536Z_xdp_drop_5500000.json
5500000	2	3	skb	no-touch	1	True	1249792.8	0.772756	1.0	2555.5	5.7662	0.3232	0.064	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T164624Z_xdp_drop_5500000.json
5500000	2	4	native	read-data	1	True	5499992.4	0.0	1.0	392.29	0.4803	0.1151	0.2467	-	/home/luw/XDP3/data/paired/paired_4config_ring512_20260823/cells/20260823T164711Z_xdp_drop_5500000.json
